2026-03-19 08:34:20 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:37:20 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 08:37:20 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:20:05 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:20:05 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:20:05 | INFO | ConnectedUplink | handle_rx self=2919754207920 queue=2919753693264 ACK=False FIN=False seq=0
2026-03-19 09:20:05 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:20:05 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:20:07 | INFO | ConnectedUplink | handle_rx self=2919754207920 queue=2919753693264 ACK=False FIN=False seq=0
2026-03-19 09:20:07 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 09:20:07 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 09:21:30 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:21:30 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:21:30 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:21:30 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:21:38 | INFO | ConnectedUplink | handle_rx self=2919754013008 queue=2919752950096 ACK=False FIN=False seq=0
2026-03-19 09:21:38 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 09:21:38 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 09:22:34 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:22:34 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:22:34 | INFO | ConnectedUplink | handle_rx self=2082393395888 queue=2082392750160 ACK=False FIN=False seq=0
2026-03-19 09:22:34 | INFO | ConnectedUplink | handle_rx self=2082393395888 queue=2082392750160 ACK=False FIN=False seq=0
2026-03-19 09:22:34 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:22:34 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:22:37 | INFO | ConnectedUplink | handle_rx self=2082393395888 queue=2082392750160 ACK=True FIN=False seq=1
2026-03-19 09:22:37 | INFO | ConnectedUplink | ACK sent for seq=1
2026-03-19 09:22:39 | WARNING | ConnectedUplink | Timeout waiting for ACK (seq=1, attempt 1)
2026-03-19 09:22:39 | INFO | ConnectedUplink | handle_rx self=2082393395888 queue=2082392750160 ACK=True FIN=False seq=1
2026-03-19 09:22:39 | INFO | ConnectedUplink | handle_rx self=2716468056416 queue=2716467812944 ACK=True FIN=False seq=1
2026-03-19 09:22:39 | INFO | ConnectedUplink | ACK sent for seq=1
2026-03-19 09:22:39 | WARNING | ConnectedUplink | Duplicate/old packet received seq=1, last_rx_seq=1; payload dropped after ACK
2026-03-19 09:24:09 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:24:09 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:24:09 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 09:24:09 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 09:24:12 | INFO | ConnectedUplink | handle_rx self=2455690433536 queue=2455689935376 ACK=True FIN=False seq=1
2026-03-19 09:24:12 | INFO | ConnectedUplink | ACK sent for seq=1
2026-03-19 09:24:13 | WARNING | ConnectedUplink | Timeout waiting for ACK (seq=1, attempt 1)
2026-03-19 09:24:13 | INFO | ConnectedUplink | handle_rx self=2455690433536 queue=2455689935376 ACK=True FIN=False seq=1
2026-03-19 09:24:13 | INFO | ConnectedUplink | handle_rx self=2295449915744 queue=2295449672272 ACK=True FIN=False seq=1
2026-03-19 09:24:14 | INFO | ConnectedUplink | ACK sent for seq=1
2026-03-19 09:24:14 | WARNING | ConnectedUplink | Duplicate/old packet received seq=1, last_rx_seq=1; payload dropped after ACK
2026-03-19 10:00:56 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 10:00:56 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 10:00:56 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 10:00:56 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 10:00:58 | INFO | ConnectedUplink | handle_rx self=2538732081504 queue=2538731468656 ACK=False FIN=False seq=0
2026-03-19 10:00:58 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 10:00:58 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 10:06:22 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 10:06:22 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 10:06:22 | INFO | ConnectedUplink | handle_rx self=1867236495376 queue=1867236030320 ACK=False FIN=False seq=0
2026-03-19 10:06:22 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 10:06:22 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 10:06:28 | INFO | ConnectedUplink | handle_rx self=1867236495376 queue=1867236030320 ACK=False FIN=False seq=0
2026-03-19 10:06:29 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 10:06:29 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 10:09:22 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:09:22 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:25:34 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 10:25:34 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 10:25:34 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 10:25:34 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 10:25:37 | INFO | ConnectedUplink | handle_rx self=2222393266192 queue=2222392670288 ACK=False FIN=False seq=0
2026-03-19 10:25:37 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 10:25:37 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 10:28:34 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:28:34 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
